Chr	Amplicon_Start	Insert_Start	Insert_Stop	Amplicon_Stop	Gene	Ampl	AMPN
chr1	43337816	43337835	43337933	43337953	MPL	ampl54	MPL-A01
chr1	43338041	43338062	43338145	43338168	MPL	ampl1169	MPL-A02
chr1	43338088	43338112	43338201	43338223	MPL	ampl13	MPL-A03
chr1	43338510	43338532	43338623	43338646	MPL	ampl1994	MPL-A04
chr1	43338595	43338615	43338711	43338734	MPL	ampl1001	MPL-A05
chr1	43338687	43338707	43338801	43338821	MPL	ampl1174	MPL-A06
chr1	43339216	43339239	43339322	43339344	MPL	ampl14	MPL-A07
chr1	43339287	43339309	43339396	43339418	MPL	ampl1162	MPL-A08
chr1	43339362	43339386	43339480	43339500	MPL	ampl16	MPL-A09
chr1	43339431	43339455	43339533	43339555	MPL	ampl1164	MPL-A10
chr1	43339930	43339956	43340048	43340069	MPL	ampl50	MPL-A11
chr1	43340012	43340032	43340118	43340141	MPL	ampl1172	MPL-A12
chr1	43340356	43340378	43340459	43340482	MPL	ampl15	MPL-A13
chr1	43340427	43340449	43340528	43340551	MPL	ampl1171	MPL-A14
chr1	43346406	43346428	43346520	43346544	MPL	ampl20	MPL-A15
chr1	43346474	43346502	43346581	43346603	MPL	ampl1166	MPL-A16
chr1	43346540	43346565	43346636	43346664	MPL	ampl22	MPL-A17
chr1	43346705	43346726	43346807	43346829	MPL	ampl1168	MPL-A18
chr1	43346772	43346793	43346880	43346907	MPL	ampl24	MPL-A19
chr1	43346884	43346910	43346994	43347017	MPL	ampl1170	MPL-A20
chr1	43348787	43348805	43348902	43348921	MPL	ampl18	MPL-A21
chr1	43349234	43349256	43349339	43349361	MPL	ampl1173	MPL-A22
chr1	43349282	43349302	43349390	43349409	MPL	ampl52	MPL-A23
chr1	43352249	43352269	43352362	43352388	MPL	ampl1167	MPL-A24
chr1	43352468	43352490	43352581	43352604	MPL	ampl10	MPL-A25
chr1	43352555	43352576	43352673	43352693	MPL	ampl1160	MPL-A26
chr1	43352634	43352656	43352744	43352766	MPL	ampl12	MPL-A27
chr1	43352714	43352736	43352813	43352838	MPL	ampl1968	MPL-A28
chr1	114708452	114708475	114708560	114708583	NRAS	ampl246	NRAS-A01
chr1	114708526	114708550	114708635	114708665	NRAS	ampl1402	NRAS-A02
chr1	114708601	114708625	114708699	114708728	NRAS	ampl248	NRAS-A03
chr1	114709498	114709526	114709607	114709629	NRAS	ampl1396	NRAS-A04
chr1	114709575	114709597	114709677	114709702	NRAS	ampl242	NRAS-A05
chr1	114709644	114709667	114709749	114709779	NRAS	ampl1398	NRAS-A06
chr1	114713766	114713795	114713874	114713898	NRAS	ampl250	NRAS-A07
chr1	114713841	114713864	114713938	114713967	NRAS	ampl1404	NRAS-A08
chr1	114713902	114713928	114714007	114714038	NRAS	ampl252	NRAS-A09
chr1	114715977	114716006	114716094	114716116	NRAS	ampl1400	NRAS-A10
chr1	114716056	114716084	114716168	114716190	NRAS	ampl244	NRAS-A11
chr2	29193142	29193164	29193253	29193281	ALK	ampl840	ALK-A01
chr2	29193230	29193252	29193332	29193355	ALK	ampl2038	ALK-A02
chr2	29193346	29193367	29193463	29193484	ALK	ampl866	ALK-A03
chr2	29193434	29193454	29193533	29193559	ALK	ampl2040	ALK-A04
chr2	29193502	29193523	29193620	29193640	ALK	ampl868	ALK-A05
chr2	29193617	29193637	29193719	29193741	ALK	ampl2066	ALK-A06
chr2	29193685	29193709	29193801	29193823	ALK	ampl870	ALK-A07
chr2	29193780	29193799	29193896	29193918	ALK	ampl2068	ALK-A08
chr2	29193865	29193886	29193964	29193997	ALK	ampl872	ALK-A09
chr2	29196735	29196764	29196844	29196874	ALK	ampl2036	ALK-A10
chr2	29196805	29196826	29196900	29196930	ALK	ampl838	ALK-A11
chr2	29197493	29197523	29197595	29197618	ALK	ampl1984	ALK-A12
chr2	29197517	29197546	29197627	29197656	ALK	ampl790	ALK-A13
chr2	29207138	29207160	29207252	29207275	ALK	ampl1974	ALK-A14
chr2	29207220	29207242	29207334	29207356	ALK	ampl782	ALK-A15
chr2	29209686	29209710	29209803	29209825	ALK	ampl2076	ALK-A16
chr2	29209769	29209793	29209875	29209900	ALK	ampl880	ALK-A17
chr2	29209843	29209865	29209938	29209967	ALK	ampl2078	ALK-A18
chr2	29213905	29213926	29214026	29214044	ALK	ampl824	ALK-A19
chr2	29213989	29214016	29214103	29214123	ALK	ampl1992	ALK-A20
chr2	29220636	29220658	29220754	29220775	ALK	ampl730	ALK-A21
chr2	29220720	29220742	29220829	29220851	ALK	ampl2024	ALK-A22
chr2	29220799	29220821	29220900	29220930	ALK	ampl1127	ALK-A23
chr2	29222269	29222294	29222381	29222403	ALK	ampl1982	ALK-A24
chr2	29222349	29222371	29222452	29222474	ALK	ampl788	ALK-A25
chr2	29222492	29222512	29222608	29222631	ALK	ampl2070	ALK-A26
chr2	29222498	29222522	29222612	29222637	ALK	ampl874	ALK-A27
chr2	29223266	29223287	29223380	29223401	ALK	ampl2028	ALK-A28
chr2	29223347	29223367	29223463	29223484	ALK	ampl834	ALK-A29
chr2	29223449	29223467	29223567	29223587	ALK	ampl2030	ALK-A30
chr2	29225387	29225407	29225505	29225526	ALK	ampl832	ALK-A31
chr2	29225459	29225482	29225564	29225584	ALK	ampl2026	ALK-A32
chr2	29226865	29226887	29226977	29227000	ALK	ampl882	ALK-A33
chr2	29226957	29226978	29227065	29227089	ALK	ampl2080	ALK-A34
chr2	29227019	29227049	29227130	29227154	ALK	ampl770	ALK-A35
chr2	29227528	29227553	29227645	29227667	ALK	ampl1990	ALK-A36
chr2	29227601	29227624	29227713	29227738	ALK	ampl822	ALK-A37
chr2	29228839	29228859	29228958	29228978	ALK	ampl2086	ALK-A38
chr2	29228887	29228908	29229005	29229025	ALK	ampl888	ALK-A39
chr2	29229024	29229045	29229129	29229149	ALK	ampl2088	ALK-A40
chr2	29232214	29232235	29232328	29232353	ALK	ampl778	ALK-A41
chr2	29232314	29232335	29232431	29232453	ALK	ampl1944	ALK-A42
chr2	29232363	29232384	29232463	29232487	ALK	ampl776	ALK-A43
chr2	29233525	29233547	29233622	29233650	ALK	ampl2072	ALK-A44
chr2	29233553	29233580	29233652	29233677	ALK	ampl876	ALK-A45
chr2	29239594	29239614	29239709	29239733	ALK	ampl1978	ALK-A46
chr2	29239664	29239684	29239778	29239798	ALK	ampl786	ALK-A47
chr2	29239731	29239754	29239835	29239856	ALK	ampl1980	ALK-A48
chr2	29250986	29251009	29251101	29251120	ALK	ampl794	ALK-A49
chr2	29251088	29251108	29251193	29251213	ALK	ampl2074	ALK-A50
chr2	29251170	29251189	29251273	29251294	ALK	ampl878	ALK-A51
chr2	29275061	29275087	29275175	29275200	ALK	ampl1970	ALK-A52
chr2	29275143	29275165	29275251	29275277	ALK	ampl1121	ALK-A53
chr2	29275307	29275327	29275418	29275444	ALK	ampl1976	ALK-A54
chr2	29275386	29275408	29275501	29275525	ALK	ampl784	ALK-A55
chr2	29296778	29296801	29296898	29296917	ALK	ampl2018	ALK-A56
chr2	29296871	29296894	29296984	29297006	ALK	ampl826	ALK-A57
chr2	29296928	29296949	29297033	29297054	ALK	ampl2020	ALK-A58
chr2	29296999	29297021	29297107	29297132	ALK	ampl828	ALK-A59
chr2	29318259	29318284	29318372	29318398	ALK	ampl1972	ALK-A60
chr2	29318303	29318326	29318409	29318434	ALK	ampl780	ALK-A61
chr2	29320696	29320719	29320813	29320833	ALK	ampl2022	ALK-A62
chr2	29320745	29320767	29320842	29320869	ALK	ampl830	ALK-A63
chr2	29328263	29328283	29328382	29328402	ALK	ampl1940	ALK-A64
chr2	29328355	29328377	29328473	29328494	ALK	ampl774	ALK-A65
chr2	29328424	29328447	29328542	29328561	ALK	ampl1942	ALK-A66
chr2	29383677	29383703	29383790	29383812	ALK	ampl886	ALK-A67
